County,Year,Rate
Abbeville,2007,8
Abbeville,2008,8
Abbeville,2009,14.4
Abbeville,2010,13
Abbeville,2011,11.6
Abbeville,2012,9.8
Abbeville,2013,9
Abbeville,2014,7.6
Abbeville,2015,6.9
Abbeville,2016,5.31
Abbeville,2017,4.6
Abbeville,2018,4
Aiken,2007,5.3
Aiken,2008,5.8
Aiken,2009,9.4
Aiken,2010,8.6
Aiken,2011,8.6
Aiken,2012,7.9
Aiken,2013,7.5
Aiken,2014,6.4
Aiken,2015,5.9
Aiken,2016,4.821
Aiken,2017,4.1
Aiken,2018,3.3
Allendale,2007,10.2
Allendale,2008,16.4
Allendale,2009,20.9
Allendale,2010,19
Allendale,2011,18.2
Allendale,2012,16.5
Allendale,2013,14
Allendale,2014,12.1
Allendale,2015,11.4
Allendale,2016,8.466
Allendale,2017,6.9
Allendale,2018,5.8
Anderson,2007,5.7
Anderson,2008,6.7
Anderson,2009,12.2
Anderson,2010,11.3
Anderson,2011,9.8
Anderson,2012,8.4
Anderson,2013,6.8
Anderson,2014,5.9
Anderson,2015,5.4
Anderson,2016,4.44
Anderson,2017,3.9
Anderson,2018,3.3
Bamberg,2007,9
Bamberg,2008,11.2
Bamberg,2009,15.9
Bamberg,2010,15.6
Bamberg,2011,15.7
Bamberg,2012,15.1
Bamberg,2013,12.9
Bamberg,2014,11.6
Bamberg,2015,10.5
Bamberg,2016,9.028
Bamberg,2017,7.4
Bamberg,2018,6.5
Barnwell,2007,9.2
Barnwell,2008,10.8
Barnwell,2009,17.4
Barnwell,2010,17.4
Barnwell,2011,15.8
Barnwell,2012,14.4
Barnwell,2013,12.6
Barnwell,2014,9.6
Barnwell,2015,8.9
Barnwell,2016,6.972
Barnwell,2017,6
Barnwell,2018,4.8
Beaufort,2007,4.3
Beaufort,2008,5.3
Beaufort,2009,8.9
Beaufort,2010,9
Beaufort,2011,9.1
Beaufort,2012,8
Beaufort,2013,6.8
Beaufort,2014,5.7
Beaufort,2015,5.4
Beaufort,2016,4.588
Beaufort,2017,4
Beaufort,2018,3.2
Berkeley,2007,4.7
Berkeley,2008,6.1
Berkeley,2009,10.4
Berkeley,2010,9.7
Berkeley,2011,9.1
Berkeley,2012,7.9
Berkeley,2013,6.6
Berkeley,2014,6
Berkeley,2015,5.5
Berkeley,2016,4.41
Berkeley,2017,3.8
Berkeley,2018,3
Calhoun,2007,6.2
Calhoun,2008,7.6
Calhoun,2009,12.4
Calhoun,2010,11.6
Calhoun,2011,12.2
Calhoun,2012,10.5
Calhoun,2013,9.1
Calhoun,2014,8
Calhoun,2015,7
Calhoun,2016,5.981
Calhoun,2017,5.2
Calhoun,2018,4.2
Charleston,2007,4.3
Charleston,2008,5.3
Charleston,2009,8.9
Charleston,2010,9.1
Charleston,2011,8.3
Charleston,2012,7.2
Charleston,2013,6
Charleston,2014,5.1
Charleston,2015,4.8
Charleston,2016,3.919
Charleston,2017,3.5
Charleston,2018,2.8
Cherokee,2007,6.7
Cherokee,2008,9
Cherokee,2009,16.1
Cherokee,2010,14.4
Cherokee,2011,13.3
Cherokee,2012,11.5
Cherokee,2013,9.5
Cherokee,2014,8.3
Cherokee,2015,7.2
Cherokee,2016,5.712
Cherokee,2017,4.9
Cherokee,2018,3.6
Chester,2007,10.8
Chester,2008,11.7
